Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,High income,HIC,0.260944267591969,30.545068412291,72.7993029413993,75.5015504692892,76.8593531810077,78.5163427069525,79.9142433004888,84.2632905429597,85.8539612306977,87.5195071000265,89.0956961947073,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IBRD only,IBD,0,1.86565430357247,28.370250385321,31.7405772373343,34.443509196731,36.4151772646345,39.1451133411723,42.1858381902867,45.0108173233636,48.3970233924649,57.8990344961637,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA & IBRD total,IBT,0,1.56129767088507,23.4570165360397,26.367232329358,28.7651294741741,30.6313225355803,33.4263289808022,36.1165644928706,38.9405381887293,42.5804866924346,50.6129147499047,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA blend,IDB,0,..,10.5930665848468,12.1647406551241,14.2543082134165,16.5319939719829,18.9299514533737,20.2937030825544,22.0973583629288,25.2570791505581,27.9811433664472,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA only,IDX,0,0.140886729887619,5.32896778279552,5.82075801105153,7.33656863323731,9.30836305167288,11.924557251036,14.1377036519685,17.7022260623398,19.3195394213207,22.2207784958832,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA total,IDA,0,0.160796736141488,7.14767876021499,8.09908906518603,9.80588973306408,11.8904667470103,14.5306992050628,16.4187503102715,19.3500255048258,21.8234401794574,24.6190517394681,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Late-demographic dividend,LTE,0,2.46941645120314,40.2776083107489,44.9453555519882,48.0662764669416,50.7584850948146,53.3706300429036,56.7216400523889,59.0603246964927,63.5764794122696,68.1086029426029,73.149265780072
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,0,3.88445540375328,39.3384906810595,43.162893355839,46.2373336353434,48.6070157052375,54.1813507640632,57.229171435495,62.7225878683445,65.6678620766936,68.2969025947288,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean (excluding high income),LAC,0,3.38179927426232,38.6655409092662,42.1462814911939,45.0964467806643,47.5937502034363,53.2726649510539,56.1886001515667,61.9229697101711,65.528887901154,68.1394019485693,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,0,3.90354296649378,39.6999637732344,43.3896547165045,46.4145808621535,48.9358794727872,54.4231555789017,57.4045504239049,62.7643428383838,65.7056588505561,68.2488011374195,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Least developed countries: UN classification,LDC,0,0.0996904057287206,4.41719533971595,4.79304041308878,6.13625215336715,8.26503896600709,10.4636335763475,12.4825409946395,15.7461400551312,18.3578302869948,21.0569915156072,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low & middle income,LMY,0,1.43532567086459,22.8804516499725,25.7678291374731,28.161625290323,30.1297888596783,33.0421766296956,35.7129822751951,38.5790951230054,42.3604661524803,50.4333329598607,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low income,LIC,0,0.0779217852396302,4.73706142306498,4.60208312688528,5.45131577600604,7.2029698861812,9.5117292282929,11.3628722004763,14.144593958429,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lower middle income,LMC,0,0.564798145883804,12.7027677123105,14.5060618474925,16.6274086522125,17.7347824051316,20.4395276620808,22.8078372257094,25.714242910376,29.0704979755137,41.1555967207546,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa,MEA,0.00193897795544268,1.70756804899305,28.0057763097589,31.8036136016366,35.5156245565918,40.4135477562336,44.5470299196378,49.8256000196317,56.8563524722971,64.3361082408948,71.7590649863398,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (excluding high income),MNA,0,0.861165423666231,23.1344719050593,26.4073602881194,29.9352282897606,34.9603359598637,39.2227468909286,44.7749078123452,50.8747217496777,57.5553269097455,66.2310938382717,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,0,0.857976089775615,22.912134025388,26.1920376518815,29.7272377141589,34.7259128697298,39.0026852299376,44.5832993604414,50.7162152239865,57.4325047461997,66.1516882265722,..
