"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-01-01","9","6703","262","0.039086975980904076","1","7","29","44","14","0","152","0","0","0","0","0","0","411","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-02","1","3812","75","0.019674711437565582","1","1","11","6","5","0","36","0","0","0","0","0","0","69","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-03","1","2334","36","0.015424164524421594","0","1","3","8","3","0","5","0","0","0","0","0","0","105","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-04","2","7588","122","0.016078017923036373","4","3","27","11","19","0","32","0","0","0","0","0","0","64","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-05","15","23900","659","0.027573221757322176","28","12","126","34","82","1","188","0","0","0","0","0","0","292","188","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-06","10","48364","1449","0.02996030105036804","83","8","278","146","330","16","526","0","0","0","0","0","0","178","62","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-07","15","15076","612","0.04059432210135314","7","29","49","46","54","7","350","0","0","0","0","0","0","113","70","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-08","7","6745","168","0.02490733876945886","5","6","29","12","30","2","71","0","0","0","0","0","0","92","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-09","2","2873","47","0.016359206404455272","0","2","11","6","17","0","10","0","0","0","0","0","0","23","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-10","10","7452","526","0.07058507783145464","0","14","48","23","14","0","136","0","0","0","0","0","0","301","291","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-11","2","3489","92","0.026368586987675552","2","4","11","22","12","0","20","0","0","0","0","0","0","27","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-12","13","12416","611","0.04921069587628866","2","14","73","27","401","0","90","0","0","0","0","0","0","17","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-13","5","13520","1794","0.1326923076923077","20","10","181","52","878","2","159","0","0","0","0","0","0","748","492","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-14","5","12771","771","0.06037115339440921","19","2","98","20","29","0","73","0","0","0","0","0","0","1547","530","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-15","0","4987","344","0.068979346300381","7","0","30","10","10","0","39","0","0","0","0","0","0","632","248","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-16","2","13216","403","0.030493341404358353","12","1","44","16","10","1","119","0","0","0","0","0","0","361","200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-17","3","5937","291","0.04901465386558868","1","6","50","20","7","0","91","0","0","0","0","0","0","178","116","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-18","2","3542","116","0.03274985883681536","0","1","23","15","5","0","27","0","0","0","0","0","0","221","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-19","14","34972","1408","0.04026078005261352","104","39","117","63","578","1","362","0","0","0","0","0","0","2034","144","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-20","12","53801","1878","0.03490641437891489","183","19","169","138","678","0","536","0","0","0","0","0","0","6004","155","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-21","10","31284","530","0.016941567574478966","12","9","118","39","84","4","232","0","0","0","0","0","0","702","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-22","7","24184","340","0.014058881905391995","11","8","55","48","37","6","150","0","0","0","0","0","0","541","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-23","6","8790","131","0.0149032992036405","2","5","24","21","38","0","30","0","0","0","0","0","0","129","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-24","3","9374","178","0.01898869212716023","11","3","26","35","29","0","51","0","0","0","0","0","0","195","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-25","3","5335","136","0.02549203373945642","7","4","18","3","19","0","53","0","0","0","0","0","0","134","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-26","16","37074","1604","0.04326482170793548","16","22","192","81","20","5","762","0","0","0","0","0","0","808","506","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-27","0","14019","390","0.027819387973464584","8","2","80","22","31","0","235","0","0","0","0","0","0","166","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-28","2","4413","212","0.048039882166326764","8","0","11","15","25","1","69","0","0","0","0","0","0","210","83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-29","3","4211","70","0.016623129897886488","2","2","13","9","12","0","29","0","0","0","0","0","0","54","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-30","9","4090","157","0.038386308068459656","5","10","27","12","27","0","40","0","0","0","0","0","0","128","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-31","0","1974","61","0.03090172239108409","0","1","10","6","12","0","24","0","0","0","0","0","0","38","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
