"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-02-01","2","4459","59","0.013231666292890782","1","1","8","20","7","1","16","0","0","0","0","0","0","40","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-02","8","43180","2543","0.05889300602130616","63","11","265","151","652","3","1385","0","0","0","0","0","0","58","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-03","7","39352","2189","0.05562614352510673","44","6","196","156","530","1","1178","0","0","0","0","0","0","104","78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-04","0","4630","99","0.021382289416846653","2","2","6","13","34","0","39","0","0","0","0","0","0","30","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-05","6","10856","160","0.014738393515106854","3","8","51","24","25","0","45","0","0","0","0","0","0","281","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-06","8","13843","582","0.04204290977389294","5","6","57","20","19","3","237","0","0","0","0","0","0","259","235","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-07","7","5714","169","0.029576478823941196","0","7","22","11","12","2","36","0","0","0","0","0","0","85","79","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-08","19","25188","602","0.0239002699698269","32","17","109","41","16","0","238","0","0","0","0","0","0","267","149","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-09","12","25151","432","0.017176255417279632","9","13","62","54","14","1","175","0","0","0","0","0","0","134","104","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-10","3","21789","735","0.03373261737574005","8","14","66","51","6","0","275","0","0","0","0","0","0","328","315","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-11","12","16642","372","0.022353082562192043","8","11","76","26","47","0","147","0","0","0","0","0","0","68","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-12","10","27538","466","0.016922071319631055","24","12","139","33","19","0","231","0","0","0","0","0","0","14","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-13","11","15291","205","0.013406579033418351","6","9","35","20","14","4","115","0","0","0","0","0","0","13","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-14","11","23783","823","0.034604549468107475","15","16","56","54","44","16","585","0","0","0","0","0","0","19","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-15","6","15472","1048","0.06773526370217166","1","15","38","18","27","0","479","0","0","0","0","0","0","478","464","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-16","11","14839","523","0.035244962598557854","1","12","45","43","7","0","282","0","0","0","0","0","0","144","132","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-17","1","5579","341","0.06112206488618032","0","2","23","3","2","0","76","0","0","0","0","0","0","245","235","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-18","18","17302","557","0.03219281007975956","8","16","54","21","66","0","177","0","0","0","0","0","0","277","215","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-19","10","15990","463","0.028955597248280174","6","10","72","21","43","0","181","0","0","0","0","0","0","138","130","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-20","0","4761","233","0.04893929846670868","4","1","24","3","18","0","84","0","0","0","0","0","0","104","99","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-21","3","3610","57","0.015789473684210527","2","2","13","8","6","0","14","0","0","0","0","0","0","202","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-22","7","10444","169","0.01618153963998468","2","9","59","14","14","0","62","0","0","0","0","0","0","89","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-23","1","10169","102","0.01003048480676566","2","1","17","16","12","0","48","0","0","0","0","0","0","22","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-24","7","3345","96","0.028699551569506727","0","8","9","11","8","0","51","0","0","0","0","0","0","20","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-25","4","5077","182","0.03584794169785306","1","4","23","14","1","0","53","0","0","0","0","0","0","93","86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-26","8","13044","391","0.02997546764796075","9","8","62","19","21","3","63","0","0","0","0","0","0","213","206","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-27","0","1313","29","0.022086824067022087","0","0","6","5","2","1","5","0","0","0","0","0","0","15","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-02-28","1","3157","166","0.052581564776686726","1","3","10","33","4","0","110","0","0","0","0","0","0","9","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
