"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-08-01","0","1088","13","0.011948529411764705","0","0","2","1","2","0","7","0","0","0","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-02","2","1244","19","0.01527331189710611","0","2","3","9","0","0","5","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-03","4","3974","76","0.019124308002013084","0","5","25","10","0","0","36","0","0","0","0","0","0","25","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-04","15","22394","1290","0.057604715548807715","5","15","96","56","45","0","412","0","0","0","0","0","0","710","661","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-05","12","23340","2051","0.08787489288774636","15","16","108","36","97","0","606","0","0","0","0","0","0","1187","1173","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-06","11","316989","26249","0.08280728984286521","124","122","628","379","10136","0","10348","0","0","0","0","0","0","4474","4464","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-07","14","694114","51494","0.07418666098076108","130","123","847","550","19467","1","21021","0","0","0","0","0","0","9356","9353","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-08","17","92997","5988","0.06438917384431755","18","21","93","98","1937","5","2642","0","0","0","0","0","0","1176","1174","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-09","26","66409","2964","0.04463250463039648","13","52","116","78","681","1","1441","0","0","0","0","0","0","582","582","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-10","17","32617","1572","0.04819572615507251","4","21","68","31","324","0","797","0","0","0","0","0","0","334","327","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
