"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-11-01","5","2743","87","0.031717098067808966","1","4","11","7","15","0","30","0","0","0","0","0","0","29","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-02","0","1989","69","0.03469079939668175","3","0","9","3","15","1","30","0","0","0","0","0","0","22","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-03","9","3576","179","0.05005592841163311","1","6","34","18","33","0","60","0","0","0","0","0","0","105","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-04","3","2989","66","0.022080963532954166","1","1","22","7","10","0","17","0","0","0","0","0","0","52","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-05","15","6258","154","0.024608501118568233","1","16","48","18","8","0","59","0","0","0","0","0","0","16","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-06","5","6044","163","0.026968894771674388","2","0","36","27","25","0","45","0","0","0","0","0","0","529","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-07","2","3573","196","0.05485586342009516","4","9","19","9","75","0","56","0","0","0","0","0","0","88","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-08","10","24406","850","0.034827501434073586","7","20","132","72","60","0","529","0","0","0","0","0","0","36","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-09","13","31782","1042","0.03278585362783966","13","13","287","124","32","0","560","0","0","0","0","0","0","71","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-10","1","8769","238","0.02714106511574866","5","4","78","40","7","0","99","0","0","0","0","0","0","28","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-11","8","12626","544","0.04308569618248059","34","9","323","33","4","2","132","0","0","0","1","0","0","16","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-12","3","10160","340","0.03346456692913386","23","3","180","25","5","2","98","0","0","0","1","0","0","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-13","0","3470","104","0.029971181556195964","4","1","47","7","8","0","34","0","0","0","0","0","0","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-14","3","2448","91","0.037173202614379085","4","1","24","12","9","0","37","0","0","0","0","0","0","54","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-15","3","3440","130","0.0377906976744186","5","6","39","21","2","0","52","0","0","0","0","0","0","7","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-16","33","13232","421","0.03181680773881499","3","23","119","50","10","0","206","0","0","0","0","0","0","219","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-17","11","11103","315","0.02837071061875169","12","9","85","68","12","3","119","0","0","0","0","0","0","98","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-18","14","20259","528","0.026062490744854137","11","20","174","71","13","3","176","0","0","0","0","0","0","229","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-19","7","13369","358","0.02677836786595856","7","9","79","41","14","0","168","0","0","0","0","0","0","231","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-20","2","12688","290","0.0228562421185372","15","4","81","48","63","0","73","0","0","0","0","0","0","29","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-21","1","5093","111","0.021794620066758294","1","2","19","16","23","0","47","0","0","0","0","0","0","15","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-22","2","8905","153","0.017181358787198203","4","3","34","13","33","0","64","0","0","0","0","0","0","11","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-23","13","4412","136","0.030825022665457842","1","8","29","19","8","0","71","0","0","0","0","0","0","8","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-24","2","4770","102","0.021383647798742137","2","5","21","9","3","0","57","0","0","0","0","0","0","14","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-25","5","3754","150","0.03995737879595099","3","4","47","12","1","0","54","0","0","0","0","0","0","33","29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-26","24","11688","277","0.02369952087611225","1","23","101","10","6","3","113","0","0","0","0","0","0","27","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-27","13","7407","191","0.025786418253003915","3","14","39","24","21","0","70","0","3","0","0","0","0","17","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-28","8","4739","285","0.06013926988816206","2","7","23","4","4","2","75","0","0","0","0","0","0","9","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-29","32","27988","1140","0.04073174217521795","36","40","137","72","52","7","391","0","0","0","0","0","0","178","169","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-11-30","21","50457","1167","0.02312860455437303","95","21","220","125","60","11","435","0","1","0","0","0","0","197","188","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
