"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-09-01","32","20696","651","0.0314553536915346","31","37","78","89","48","1","296","0","0","0","0","0","0","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-02","13","9901","310","0.03130996869003131","8","8","54","62","90","1","86","0","0","0","0","0","0","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-03","1","4480","186","0.04151785714285714","1","0","4","12","54","0","87","0","0","0","0","0","0","28","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-04","13","12670","368","0.02904498816101026","10","13","85","43","26","1","119","0","0","0","0","0","0","349","71","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-05","1","4576","81","0.017701048951048952","0","2","15","7","10","1","35","0","0","0","0","0","0","32","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-06","0","1910","59","0.030890052356020943","0","1","6","7","17","0","24","0","0","0","0","0","0","9","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-07","5","2698","66","0.02446256486286138","0","5","12","3","13","0","26","0","0","0","0","0","0","14","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-08","5","4307","171","0.03970280938007894","4","8","65","14","8","0","71","0","0","0","0","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-09","8","13895","355","0.025548758546239655","12","5","74","62","70","2","118","0","0","0","0","0","0","19","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-10","5","5826","166","0.028492962581531067","3","5","27","20","27","1","68","0","0","0","0","0","0","18","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-11","9","29195","1705","0.05840041102928584","63","9","248","96","141","1","371","0","0","0","0","0","0","782","776","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-12","7","39087","2018","0.05162841865581907","51","11","235","104","180","0","447","0","0","0","0","0","0","998","990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-13","18","40445","1684","0.0416367907034244","28","16","220","104","214","0","551","0","0","0","0","0","0","595","551","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-14","12","24390","778","0.03189831898318983","10","19","88","40","54","0","353","0","0","0","1","0","0","244","213","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
