"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-06-01","18","24921","640","0.025681152441715822","17","18","108","180","47","1","165","0","0","0","0","0","0","1288","104","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-02","5","18653","326","0.017477081434621778","10","5","52","66","72","2","108","0","0","0","0","0","0","158","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-03","2","11785","199","0.016885871871022487","15","1","27","39","49","0","67","0","0","0","0","0","0","15","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-04","10","17468","2148","0.1229677123883673","2","22","93","151","26","0","739","0","0","0","0","0","0","1209","1115","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-05","11","14362","2471","0.17205124634452026","7","13","95","160","20","0","829","0","0","0","0","0","0","1354","1347","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-06","7","19742","448","0.02269273629824739","20","7","81","107","62","0","121","0","0","0","0","0","0","56","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-07","3","12298","179","0.014555212229630835","5","4","48","39","11","0","55","0","0","0","0","0","0","24","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-08","16","16357","349","0.021336430885859264","4","16","58","39","32","0","139","0","0","0","0","0","0","87","61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-09","0","5111","140","0.027391899823909216","2","2","16","10","16","0","59","0","0","0","0","0","0","59","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-10","32","52441","1221","0.023283308861387082","32","41","192","114","119","7","388","0","0","0","0","0","0","2472","328","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-11","1","9461","255","0.026952753408730577","3","3","37","26","22","0","104","0","0","0","0","0","0","327","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-12","1","5155","147","0.02851600387972842","7","1","28","23","9","0","56","0","0","0","0","0","0","57","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-13","5","8830","161","0.018233295583238957","5","4","25","41","20","1","55","0","0","0","0","0","0","27","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-14","3","4179","67","0.016032543670734624","1","3","16","8","6","0","28","0","0","0","0","0","0","26","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-15","0","1577","33","0.02092580849714648","0","0","1","9","8","1","9","0","0","0","0","0","0","29","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-16","5","10766","110","0.010217350919561583","5","5","30","17","10","1","39","0","0","0","0","0","0","13","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-17","1","2288","28","0.012237762237762238","2","1","8","0","4","0","7","0","0","0","0","0","0","11","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-18","0","1651","28","0.016959418534221685","0","0","3","3","2","0","8","0","0","0","0","0","0","19","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-19","13","6875","125","0.01818181818181818","8","11","27","22","23","0","28","0","0","0","0","0","0","11","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-20","8","73223","2193","0.029949605998115348","78","11","390","275","657","0","738","0","0","0","1","0","0","47","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-21","7","28022","744","0.026550567411319677","17","14","97","77","146","1","318","0","0","0","0","0","0","408","74","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-22","13","23139","707","0.03055447512857081","14","17","82","29","97","1","274","0","0","0","0","0","0","241","193","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-23","10","19014","1715","0.09019669717050595","4","21","120","73","155","14","353","0","0","0","0","0","0","986","975","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-24","14","56972","2729","0.047900723162255146","34","12","175","107","362","5","853","0","0","0","0","0","0","1188","1181","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-06-25","0","8066","218","0.02702702702702703","3","0","12","42","42","1","67","0","0","0","0","0","0","53","51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
