"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-07-01","14","19316","430","0.02226133775108718","9","21","68","41","25","0","196","0","0","0","0","0","0","188","70","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-02","3","5500","59","0.010727272727272728","1","3","16","9","4","0","18","0","0","0","0","0","0","239","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-03","3","5257","166","0.031576945025680044","5","5","37","23","4","0","87","0","0","0","0","0","0","24","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-04","6","17909","244","0.013624434641800211","4","6","37","29","38","0","85","0","0","0","0","0","0","438","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-05","6","9241","300","0.03246401904555784","16","6","84","13","33","3","131","0","0","0","0","0","0","314","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-06","1","32833","678","0.020649955837115097","14","13","133","42","56","8","382","0","0","0","0","0","0","109","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-07","0","2872","43","0.014972144846796657","2","1","8","5","5","0","20","0","0","0","0","0","0","9","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-08","4","14834","450","0.030335715248752865","12","4","114","50","3","1","254","0","0","0","0","0","0","117","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-09","2","4361","101","0.023159825728044026","2","1","19","32","2","0","42","0","0","0","0","0","0","16","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-07-10","10","11756","179","0.01522626743790405","10","9","37","17","2","0","76","0","0","0","0","0","0","68","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
