"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-03-01","1","3084","61","0.019779507133592736","0","0","4","10","2","2","19","0","0","0","0","0","0","32","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-02","2","4254","53","0.012458862247296662","0","1","13","15","1","1","20","0","0","0","0","0","0","14","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-03","8","7486","245","0.03272775848250067","4","9","31","6","23","2","63","0","0","0","0","0","0","110","107","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-04","3","13868","502","0.036198442457456015","16","2","71","43","39","1","125","0","0","0","0","0","0","216","205","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-05","6","13535","160","0.011821204285186553","13","4","42","22","20","4","46","0","0","0","0","0","0","13","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-06","2","6210","222","0.035748792270531404","0","1","21","104","40","0","53","0","0","0","0","0","0","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-07","5","7661","679","0.08863072705913067","2","7","40","110","9","1","509","0","0","0","0","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-08","4","20417","775","0.0379585639418132","19","13","50","72","104","7","499","0","0","0","0","0","0","193","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-09","4","7762","194","0.0249935583612471","7","5","19","12","36","0","111","0","0","0","0","0","0","46","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-10","5","19230","712","0.03702548101924077","20","7","72","51","74","0","179","0","0","0","0","0","0","310","309","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-11","16","19497","739","0.0379032671693081","7","13","67","51","16","0","233","0","0","0","0","0","0","361","352","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-12","4","16153","1018","0.0630223487896985","11","4","41","52","5","2","278","0","0","0","0","0","0","628","625","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-13","0","2350","57","0.02425531914893617","0","1","4","10","3","0","22","0","0","0","0","0","0","22","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-14","0","1765","25","0.014164305949008499","0","1","2","5","6","0","8","0","0","0","0","0","0","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-15","4","1733","58","0.03346797461050202","2","4","11","7","3","0","17","0","0","0","0","0","0","19","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-16","19","13897","471","0.033892206951140535","14","26","52","26","173","2","155","0","0","0","0","0","0","27","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-17","13","48144","1544","0.032070455300764376","23","28","208","97","98","1","1025","0","0","0","0","0","0","68","64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-18","16","29492","942","0.03194086531940865","8","22","136","60","38","0","642","0","0","0","0","0","0","41","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-19","12","28405","577","0.02031332511881711","10","15","70","47","41","0","382","0","0","0","0","0","0","16","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-03-20","13","18150","657","0.036198347107438016","6","14","86","51","22","1","273","0","0","0","0","0","0","210","204","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
