"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-04-01","15","22834","532","0.023298589822194973","10","20","91","40","24","0","272","0","0","0","0","0","0","151","72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-02","6","12321","294","0.023861699537375214","6","10","29","9","13","0","156","0","0","0","0","0","0","84","71","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-03","0","3684","33","0.008957654723127036","0","0","3","6","3","0","18","0","0","0","0","0","0","8","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-04","4","7006","97","0.013845275478161575","1","3","28","23","2","0","32","0","0","0","0","0","0","19","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-05","28","24825","967","0.03895266868076536","6","36","48","33","22","0","256","0","0","0","0","0","0","228","205","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-06","25","47310","3988","0.08429507503699006","11","48","177","136","2382","0","715","0","0","0","0","0","0","478","340","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-07","1","25777","2755","0.10687822477402335","2","10","164","190","1770","0","561","0","0","0","0","0","0","89","58","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-08","14","19019","857","0.045060202954939794","8","20","61","63","386","0","276","0","0","0","0","0","0","287","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-09","5","15267","949","0.06216021484247069","10","8","83","26","327","0","128","0","0","0","0","0","0","393","367","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-10","0","2706","89","0.03288987435328899","0","0","4","6","31","0","16","0","0","0","0","0","0","38","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-11","1","4188","90","0.02148997134670487","2","2","29","12","11","0","29","0","0","0","0","0","0","11","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-12","18","27616","890","0.03222769409038239","5","29","92","65","8","1","258","0","0","0","0","0","0","507","432","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-13","10","43498","1766","0.040599567796220516","8","18","272","101","11","0","457","0","0","0","0","0","0","932","899","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-14","5","11846","279","0.023552253925375653","5","5","42","28","27","0","110","0","0","0","0","0","0","65","62","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-15","36","86126","2954","0.034298585792908065","69","34","321","217","151","1","691","0","0","0","0","0","0","2290","1470","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-16","6","21987","755","0.03433847273388821","11","16","81","68","45","1","184","0","0","0","0","0","0","1223","349","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-17","3","34707","534","0.015385945198374967","3","3","54","297","14","0","128","0","0","0","0","0","0","115","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-18","0","95493","1582","0.01656665933628643","3","10","126","688","66","0","582","0","0","0","1","0","0","154","106","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-19","8","13585","246","0.018108207581891793","1","8","29","80","5","0","108","0","0","0","0","0","0","52","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-20","44","70740","1987","0.028088775798699464","30","54","284","101","66","21","879","0","0","0","0","0","0","569","552","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-21","10","25784","645","0.025015513496742164","5","8","112","41","14","8","337","0","0","0","0","0","0","199","120","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-22","2","6821","159","0.023310365049113033","0","0","18","22","7","0","73","0","0","0","0","0","0","63","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-23","17","18087","352","0.01946149167910654","9","21","109","45","8","0","122","0","0","0","0","0","0","42","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-24","3","8510","141","0.016568742655699176","0","6","42","23","6","0","47","0","0","0","0","0","0","23","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-25","1","3443","62","0.018007551553877434","5","1","11","5","5","0","29","0","0","0","0","0","0","13","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-26","4","12398","161","0.012985965478302951","16","2","70","13","16","0","39","0","0","0","0","0","0","14","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-27","7","31404","574","0.018277926378805247","22","15","209","51","9","0","262","0","0","0","0","0","0","37","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-28","3","13276","298","0.02244652003615547","3","5","70","48","58","0","112","0","0","0","0","0","0","8","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-29","29","48055","925","0.019248777442513788","31","32","180","154","26","9","449","0","0","0","0","0","0","740","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-30","1","21087","427","0.020249442784654053","5","6","73","49","9","12","258","0","0","0","0","0","0","325","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
